,participant,dataset,image,trial,true_value,pred_value,duration,break,switches_fixations,fixations,p_nan,len,switches,line_start_x,line_start_y,line_end_x,line_end_y
687,6,rbp1,single_chess_mirror_00121,15,1,1,2.191,0.85,1.0,6.0,8.4,131.0,7.0,96.69264069264062,240.2077922077921,314.18181818181824,245.7489177489177
688,6,rbp1,single_chess_mirror_00217,16,1,0,3.5869999999999997,0.6659999999999999,2.0,11.0,1.86,215.0,2.0,146.56277056277054,290.077922077922,398.6839826839826,302.5454545454545
689,6,rbp1,single_chess_nomirror_00288,17,0,0,25.629,45.01600000000001,8.0,58.0,8.0,1538.0,24.0,147.9480519480519,269.29870129870125,420.8484848484849,290.077922077922
690,6,rbp1,single_chess_nomirror_00328,18,0,0,5.17,1.0170000000000001,4.0,19.0,0.32,310.0,6.0,68.98701298701292,267.91341991341983,368.2077922077922,234.66666666666657
691,6,rbp1,single_chess_mirror_00344,19,1,1,8.862,0.667,7.0,28.0,4.7,532.0,13.0,106.38961038961037,274.83982683982674,311.4112554112553,183.4112554112553
692,6,rbp1,single_chess_mirror_00186,20,1,0,10.341,0.633,5.0,27.0,7.1,620.0,7.0,237.991341991342,194.4935064935064,477.64502164502176,198.6493506493506
693,6,rbp1,single_chess_mirror_00197,21,1,1,4.768,1.033,3.0,14.0,14.13,283.0,5.0,152.1038961038961,326.095238095238,431.93073593073603,326.095238095238
694,6,rbp1,single_chess_mirror_00497,22,1,1,2.452,0.5660000000000001,1.0,7.0,19.31,145.0,1.0,100.84848484848482,303.9307359307358,267.0822510822511,206.96103896103887
695,6,rbp1,single_chess_mirror_00335,23,1,0,7.466,1.058,4.0,22.0,7.61,447.0,4.0,175.65367965367957,313.62770562770555,390.3722943722944,227.74025974025972
696,6,rbp1,single_chess_mirror_00411,24,1,0,3.708,1.818,2.0,15.0,4.5,222.0,6.0,219.982683982684,168.17316017316008,304.4848484848485,240.2077922077921
697,6,rbp1,single_chess_nomirror_00344,25,0,1,5.684,0.883,4.0,12.0,17.56,336.0,6.0,63.445887445887365,317.78354978354974,358.51082251082255,324.7099567099566
